13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
7399  ;-3,94299  ;0  ;4,69433  ;-7,20711e-07
7230  ;-6,0766  ;0  ;4,70553  ;-7,20821e-07
5698  ;-9,56699  ;0  ;6,25  ;-7,22174e-07
9984  ;-0,433013  ;0  ;6,25  ;-7,22243e-07
126  ;-3,4641  ;0  ;5  ;-7,22762e-07
128  ;-6,5266  ;0  ;4,99897  ;-7,22809e-07
83  ;-8,26795  ;0  ;6  ;-7,23388e-07
97  ;-1,73205  ;0  ;6  ;-7,23505e-07
7291  ;-7,80363  ;0  ;5,77212  ;-7,23718e-07
7609  ;-4,71934  ;0  ;4,76674  ;-7,23729e-07
10590  ;-2,19577  ;0  ;5,77405  ;-7,23767e-07
8944  ;-3,0618  ;0  ;5,27405  ;-7,23778e-07
6602  ;-6,93295  ;0  ;5,2716  ;-7,23783e-07
7608  ;-5,3217  ;0  ;4,77845  ;-7,23838e-07
5331  ;-8,70096  ;0  ;6,25  ;-7,23920e-07
9461  ;-1,29904  ;0  ;6,25  ;-7,23958e-07
5699  ;-10  ;0  ;6,5  ;-7,24132e-07
115  ;-7,3393  ;0  ;5,54424  ;-7,24171e-07
105  ;-2,65949  ;0  ;5,54809  ;-7,24178e-07
10019  ;0  ;0  ;6,5  ;-7,24259e-07
72  ;-9,13398  ;0  ;6,5  ;-7,24812e-07
48  ;-0,866025  ;0  ;6,5  ;-7,24830e-07
7400  ;-4,3465  ;0  ;4,97963  ;-7,25811e-07
10935  ;-5,6836  ;0  ;5,00179  ;-7,25990e-07
5685  ;-9,56699  ;0  ;6,75  ;-7,26108e-07
10020  ;-0,433013  ;0  ;6,75  ;-7,26196e-07
7382  ;-8,27052  ;0  ;6,51249  ;-7,27003e-07
8949  ;-1,7355  ;0  ;6,51433  ;-7,27075e-07
7290  ;-7,81467  ;0  ;6,26227  ;-7,27142e-07
8947  ;-2,18962  ;0  ;6,26756  ;-7,27193e-07
7378  ;-8,70353  ;0  ;6,76249  ;-7,27328e-07
8879  ;-1,30249  ;0  ;6,76433  ;-7,27431e-07
6867  ;-3,86761  ;0  ;5,2853  ;-7,27480e-07
